,team_name,opponent_name,conference,home,away,neutral,offensive_efficiency,adjusted_offensive_efficiency
227,Florida State Seminoles,Manhattan Jaspers,ACC,1,0,0,1.10496,1.0090533023787118
228,App State Mountaineers,Ohio Bobcats,Sun Belt,0,1,0,0.71955,0.6943266727565538
229,Ohio Bobcats,App State Mountaineers,MAC,1,0,0,1.08942,0.9849008169474393
230,Colgate Raiders,La Salle Explorers,Patriot,0,1,0,0.88219,1.0066017539350853
231,La Salle Explorers,Colgate Raiders,A-10,1,0,0,0.98368,0.8760516387856532
232,Vermont Catamounts,Canisius Golden Griffins,AM. EAST,0,1,0,0.96451,1.0797773598896356
233,Canisius Golden Griffins,Vermont Catamounts,MAAC,1,0,0,1.06157,1.101110555683388
234,North Dakota Fighting Hawks,Northern Iowa Panthers,Big Sky,0,1,0,0.89918,0.9790575576484268
235,Northern Iowa Panthers,North Dakota Fighting Hawks,MVC,1,0,0,1.03972,0.9164772470116703
236,Bowling Green Falcons,Drake Bulldogs,MAC,0,1,0,1.24315,1.1024246981651786
237,Drake Bulldogs,Bowling Green Falcons,MVC,1,0,0,0.94697,0.9446571774943824
238,Maine Black Bears,Butler Bulldogs,AM. EAST,0,1,0,0.81158,1.0358600219165888
239,Butler Bulldogs,Maine Black Bears,Big East,1,0,0,1.4315,1.1994031877684879
240,Austin Peay Governors,Western Kentucky Hilltoppers,OVC,0,1,0,1.05371,1.0816848344910395
241,Western Kentucky Hilltoppers,Austin Peay Governors,CUSA,1,0,0,1.12337,1.0577420041779417
242,Delaware State Hornets,Pennsylvania Quakers,MEAC,0,1,0,1.21161,1.2522347608830557
243,Pennsylvania Quakers,Delaware State Hornets,Ivy,1,0,0,1.18587,1.0920518299640398
244,Southeast Missouri State Redhawks,San Diego Toreros,OVC,0,0,1,0.84787,0.9244574797534444
245,San Diego Toreros,Southeast Missouri State Redhawks,WCC,0,0,1,1.00564,0.9310497346378311
246,The Citadel Bulldogs,Air Force Falcons,Southern,0,0,1,0.96516,0.8782268464921107
247,Air Force Falcons,The Citadel Bulldogs,Mountain West,0,0,1,1.26128,1.074065743843548
248,Cal Poly Mustangs,Nevada Wolf Pack,Big West,0,1,0,0.91276,0.9032701380051613
249,Nevada Wolf Pack,Cal Poly Mustangs,Mountain West,1,0,0,1.22571,1.2089856984167424
250,UNC Wilmington Seahawks,Old Dominion Monarchs,CAA,0,1,0,0.84248,0.931434780349047
251,Old Dominion Monarchs,UNC Wilmington Seahawks,CUSA,1,0,0,1.16972,1.1610207137771724
252,Dartmouth Big Green,St. Bonaventure Bonnies,Ivy,0,1,0,0.92255,0.9594508431690423
253,St. Bonaventure Bonnies,Dartmouth Big Green,A-10,1,0,0,1.2212,1.1738089355251988
254,UAlbany Great Danes,Providence Friars,AM. EAST,0,1,0,0.95391,1.1171670991731453
255,Providence Friars,UAlbany Great Danes,Big East,1,0,0,1.0016,0.8624940139675273
256,UL Monroe Warhawks,UAB Blazers,Sun Belt,0,1,0,1.09183,1.1595729162326536
257,UAB Blazers,UL Monroe Warhawks,CUSA,1,0,0,0.95904,0.9827757912616261
258,Florida A&M Rattlers,South Carolina Upstate Spartans,MEAC,0,1,0,1.02464,1.0889780200941956
259,South Carolina Upstate Spartans,Florida A&M Rattlers,ASUN,1,0,0,1.24464,1.1085593462321455
260,Kent State Golden Flashes,Youngstown State Penguins,MAC,0,1,0,1.13726,1.005600342348654
261,Youngstown State Penguins,Kent State Golden Flashes,Horizon,1,0,0,0.92843,0.9030220497672189
262,VMI Keydets,Army Black Knights,Southern,0,1,0,1.11146,1.0373345758470762
263,Army Black Knights,VMI Keydets,Patriot,1,0,0,1.23242,1.1667709933348847
264,Boise State Broncos,Loyola Marymount Lions,Mountain West,0,1,0,1.26193,1.1871273332476677
265,Loyola Marymount Lions,Boise State Broncos,WCC,1,0,0,1.07791,1.0581654357586143
266,Southern Illinois Salukis,Saint Louis Billikens,MVC,0,1,0,0.97367,0.9188571084192226
267,Saint Louis Billikens,Southern Illinois Salukis,A-10,1,0,0,1.03832,0.9762526167722766
268,Fairfield Stags,Duke Blue Devils,MAAC,0,1,0,0.84794,0.9950261121413825
269,Duke Blue Devils,Fairfield Stags,ACC,1,0,0,1.52774,1.4003379570312076
270,Tulsa Golden Hurricane,Oral Roberts Golden Eagles,American,1,0,0,1.01248,0.9320542253052366
271,Oral Roberts Golden Eagles,Tulsa Golden Hurricane,Summit,1,0,0,1.19074,1.267293694040408
272,High Point Panthers,Arkansas-Pine Bluff Golden Lions,Big South,0,0,1,1.23849,1.178325204833726
273,Arkansas-Pine Bluff Golden Lions,High Point Panthers,SWAC,0,0,1,1.03168,1.1170090474305103
274,Montana Grizzlies,Colorado State Rams,Big Sky,0,1,0,0.96831,1.0276359213450965
275,Colorado State Rams,Montana Grizzlies,Mountain West,1,0,0,1.2295,1.1667967927671885
276,Portland State Vikings,USC Trojans,Big Sky,0,1,0,1.13095,1.1632250587688977
277,USC Trojans,Portland State Vikings,Pac-12,1,0,0,1.01655,0.8734523725784294
278,Cal State Bakersfield Roadrunners,Hawai'i Rainbow Warriors,WAC,0,1,0,0.95579,1.097639379555739
279,Hawai'i Rainbow Warriors,Cal State Bakersfield Roadrunners,Big West,1,0,0,1.12208,1.063910685717843
280,Norfolk State Spartans,Virginia Cavaliers,MEAC,0,1,0,0.72596,1.01555969847273
281,Virginia Cavaliers,Norfolk State Spartans,ACC,1,0,0,1.21419,1.0584073746373737
282,Northern Kentucky Norse,Nebraska Cornhuskers,ASUN,0,1,0,0.97397,1.1125226537788075
283,Nebraska Cornhuskers,Northern Kentucky Norse,Big Ten,1,0,0,1.27812,1.0626052362308025
284,SE Louisiana Lions,Oklahoma Sooners,Southland,0,1,0,0.70744,0.8912485788950555
